iso_country,name,iata_code
US,Arthur N Neu Airport,CIN
US,Cairo Regional Airport,CIR
US,Chippewa County International Airport,CIU
US,Kegelman AF Aux Field,CKA
US,North Central West Virginia Airport,CKB
US,Grand Marais Cook County Airport,GRM
US,Fletcher Field,CKM
US,Crookston Municipal Kirkwood Field,CKN
US,Clarksville–Montgomery County Regional Airport,CKV
US,Chignik Lagoon Airport,KCL
US,Cleveland Hopkins International Airport,CLE
US,Clintonville Municipal Airport,CLI
US,Clinton Regional Airport,CLK
US,Easterwood Field,CLL
US,William R Fairchild International Airport,CLM
US,Cliff Hatfield Memorial Airport,CLR
US,Chehalis Centralia Airport,CLS
US,Charlotte Douglas International Airport,CLT
US,Clearwater Air Park,CLW
US,John Glenn Columbus International Airport,CMH
US,University of Illinois Willard Airport,CMI
US,Houghton County Memorial Airport,CMX
US,Sparta Fort McCoy Airport,CMY
US,Chernofski Harbor Seaplane Base,KCN
US,Claremont Municipal Airport,CNH
US,Blosser Municipal Airport,CNK
US,Cavern City Air Terminal,CNM
US,Chino Airport,CNO
US,Chanute Martin Johnson Airport,CNU
US,TSTC Waco Airport,CNW
US,Canyonlands Regional Airport,CNY
US,Yellowstone Regional Airport,COD
US,Coeur D'Alene Airport - Pappy Boyington Field,COE
US,Patrick Space Force Base,COF
US,Merritt Island Airport,COI
US,Coleman Municipal Airport,COM
US,Concord Municipal Airport,CON
US,City of Colorado Springs Municipal Airport,COS
US,Cotulla-La Salle County Airport,COT
US,Columbia Regional Airport,COU
US,Compton Woodley Airport,CPM
US,Casper-Natrona County International Airport,CPR
US,St Louis Downtown Airport,CPS
US,Cheraw Municipal Airport/Lynch Bellinger Field,HCW
US,Colorado Creek Airport,KCR
US,Grand Strand Airport,CRE
US,Jacksonville Executive at Craig Airport,CRG
US,Corpus Christi International Airport,CRP
US,McClellan-Palomar Airport,CLD
US,C David Campbell Field Corsicana Municipal Airport,CRS
US,Z M Jack Stell Field,CRT
US,Yeager Airport,CRW
US,Roscoe Turner Airport,CRX
US,Columbus Metropolitan Airport,CSG
US,Clinton Sherman Airport,CSM
US,Creston Municipal Airport,CSQ
US,Crossville Memorial Airport Whitson Field,CSV
US,Cut Bank International Airport,CTB
US,Cross City Airport,CTY
US,Sampson County Airport,CTZ
US,Jim Hamilton L.B. Owens Airport,CUB
US,Cushing Municipal Airport,CUH
US,Cincinnati Northern Kentucky International Airport,CVG
US,Hollister Municipal Airport,HLI
US,Sharp County Regional Airport,CKK
US,Clovis Municipal Airport,CVN
US,Corvallis Municipal Airport,CVO
US,Cannon Air Force Base,CVS
US,Central Wisconsin Airport,CWA
US,Kickapoo Downtown Airport,KIP
US,Chennault International Airport,CWF
US,Clinton Municipal Airport,CWI
US,Calexico International Airport,CXL
US,Conroe-North Houston Regional Airport,CXO
US,Carson Airport,CSN
US,Capital City Airport,HAR
US,Cheyenne Regional Jerry Olson Field,CYS
US,Cascade Locks State Airport,CZK
US,Dimmit County Airport,CZT
US,Tioga Municipal Airport,VEX
US,Davison Army Air Field,DAA
US,Daytona Beach International Airport,DAB
US,Barstow Daggett Airport,DAG
US,Dallas Love Field,DAL
US,Danville Regional Airport,DAN
US,James M Cox Dayton International Airport,DAY
US,W H 'Bud' Barron Airport,DBN
US,Dubuque Regional Airport,DBQ
US,Ronald Reagan Washington National Airport,DCA
US,Pryor Field Regional Airport,DCU
US,Dodge City Regional Airport,DDC
US,Decatur Airport,DEC
US,Decorah Municipal Airport,DEH
US,Denver International Airport,DEN
US,Coleman A. Young Municipal Airport,DET
US,Defiance Memorial Airport,DFI
US,Dallas Fort Worth International Airport,DFW
US,Douglas Municipal Airport,DGL
US,Converse County Airport,DGW
US,Dothan Regional Airport,DHN
US,Dalhart Municipal Airport,DHT
US,Dickinson Theodore Roosevelt Regional Airport,DIK
US,Chautauqua County-Dunkirk Airport,DKK
US,Dillon County Airport,DLL
US,Laughlin Air Force Base,DLF
US,Duluth International Airport,DLH
US,Dillon Airport,DLN
US,Columbia Gorge Regional Airport,DLS
US,Davis Monthan Air Force Base,DMA
US,Deming Municipal Airport,DMN
US,Sedalia Memorial Airport,DMO
US,Daniel Field,DNL
US,Dalton Municipal Airport,DNN
US,Denison Municipal Airport,DNS
US,Vermilion Regional Airport,DNV
US,Dover Air Force Base,DOV
US,Dupage Airport,DPA
US,Michael AAF (Dugway Proving Ground) Airport,DPG
US,Desert Rock Airport,DRA
US,Beauregard Regional Airport,DRI
US,Drummond Island Airport,DRE
US,Durango La Plata County Airport,DRO
US,Del Rio International Airport,DRT
US,Des Moines International Airport,DSM
US,Dansville Municipal Airport,DSV
US,Delta Municipal Airport,DTA
US,Detroit Lakes Airport,DTL
US,Shreveport Downtown Airport,DTN
US,Destin Executive Airport,DSI
US,Detroit Metropolitan Wayne County Airport,DTW
US,Durant Regional Airport - Eaker Field,DUA
US,Halliburton Field,DUC
US,Bisbee Douglas International Airport,DUG
US,DuBois Regional Airport,DUJ
US,Devils Lake Regional Airport,DVL
US,Davenport Municipal Airport,DVN
US,Marin County Airport - Gnoss Field,NOT
US,Slayton Municipal Airport,NSL
US,Phoenix Deer Valley Airport,DVT
US,David Wayne Hooks Memorial Airport,DWH
US,Danbury Municipal Airport,DXR
US,Doylestown Airport,DYL
US,Dyess Air Force Base,DYS
US,Roy Hurd Memorial Airport,MIF
US,Crane County Airport,CCG
US,Ohkay Owingeh Airport,ESO
US,Whiteriver Airport,WTR
US,Alpine Casparis Municipal Airport,ALE
US,Bagdad Airport,BGT
US,Phifer Airfield,EAN
US,Kearney Regional Airport,EAR
US,Pangborn Memorial Airport,EAT
US,Chippewa Valley Regional Airport,EAU
US,Nanwalek Airport,KEB
US,Webster City Municipal Airport,EBS
US,Elizabeth City Regional Airport & Coast Guard Air Station,ECG
US,Northwest Florida Beaches International Airport,ECP
US,Mondell Field,ECS
US,Northeastern Regional Airport,EDE
US,Enterprise Municipal Airport,ETS
US,Edwards Air Force Base,EDW
US,Needles Airport,EED
US,Dillant Hopkins Airport,EEN
US,Ellington Airport,EFD
US,Northeast Kingdom International Airport,EFK
US,Jefferson Municipal Airport,EFW
US,Eagle County Regional Airport,EGE
US,Duke Field,EGI
US,Eagle River Union Airport,EGV
US,Ekwok Airport,KEK
US,Murray Field,EKA
US,Elkhart Municipal Airport,EKI
US,Elkins-Randolph County Regional Airport,EKN
US,Elko Regional Airport,EKO
US,Addington Field / Elizabethtown Regional Airport,EKX
US,Eagle Lake Airport,ELA
US,South Arkansas Regional Airport at Goodwin Field,ELD
US,Elk City Regional Business Airport,ELK
US,Elmira Corning Regional Airport,ELM
US,Bowers Field,ELN
US,Ely Municipal Airport,LYU
US,El Paso International Airport,ELP
US,Ely Airport Yelland Field,ELY
US,Wellsville Municipal Airport - Tarantine Field,ELZ
US,Kemmerer Municipal Airport,EMM
US,Emporia Municipal Airport,EMP
US,San Gabriel Valley Airport,EMT
US,Vance Air Force Base,END
US,Centralia Municipal Airport,ENL
US,Wendover Airport,ENV
US,Kenosha Regional Airport,ENW
US,Keokuk Municipal Airport,EOK
US,Neosho Hugh Robinson Airport,EOS
US,Ephrata Municipal Airport,EPH
US,Captain Jack Thomas El Dorado Airport,EDK
US,Erie International Tom Ridge Field,ERI
US,Errol Airport,ERR
US,Kerrville / Kerr County Airport at Louis Schreiner Field,ERV
US,Delta County Airport,ESC
US,Esler Army Airfield / Esler Regional Airport,ESF
US,Easton Airport / Newnam Field,ESN
US,Estherville Municipal Airport,EST
US,Easton State Airport,ESW
US,West Bend Municipal Airport,ETB
US,Eastland Municipal Airport,ETN
US,Weedon Field,EUF
US,Mahlon Sweet Field,EUG
US,Eveleth–Virginia Municipal Airport,EVM
US,Evansville Regional Airport,EVV
US,Evanston-Uinta County Airport-Burns Field,EVW
US,New Bedford Regional Airport,EWB
US,Newton City-County Airport,EWK
US,Coastal Carolina Regional Airport,EWN
US,Newark Liberty International Airport,EWR
US,Key West International Airport,EYW
US,Wilbarger County Airport,WIB
US,French Valley Airport,RBK
US,Felker Army Air Field,FAF
US,Farmington Regional Airport,FAM
US,Hector International Airport,FAR
US,Fresno Yosemite International Airport,FAT
US,Fayetteville Regional Airport - Grannis Field,FAY
US,Simmons Army Air Field,FBG
US,Faribault Municipal Airport-Liz Wall Strohfus Field,FBL
US,Fort Bridger Airport,FBR
US,Fairbury Municipal Airport,FBY
US,Fresno Chandler Executive Airport,FCH
US,Flying Cloud Airport,FCM
US,Butts AAF (Fort Carson) Air Field,FCS
US,Forrest City Municipal Airport,FCY
US,Frederick Municipal Airport,FDK
US,Frederick Regional Airport,FDR
US,Findlay Airport,FDY
US,Albertus Airport,FEP
